抽せん日,候補_3桁,joint_prob,EV_net,hit,回号,date_key,候補_3桁_pick,EV_net_adj_pick,joint_prob_pick,予測番号,百,十,一,EV_gross,price,expected_payout,model_name,feature_set,gen_at,source,当選番号3
2025-11-17,000,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,0.0,0.0,0.0,0.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,022,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,22.0,0.0,2.0,2.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,967,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,967.0,9.0,6.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,999,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,999.0,9.0,9.0,9.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,998,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,998.0,9.0,9.0,8.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,997,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,997.0,9.0,9.0,7.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,996,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,996.0,9.0,9.0,6.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,995,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,995.0,9.0,9.0,5.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,994,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,994.0,9.0,9.0,4.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
2025-11-17,993,0.0,-200.0,False,,2025-11-17,395.0,8800.0,0.1,993.0,9.0,9.0,3.0,0.0,200.0,0.0,RandomForestClassifier,safe_w200,2025-11-15T09:58:45,predict_next_joint,
