抽せん日,候補_3桁,予測番号,百,十,一,joint_prob,model_name,feature_set,gen_at,source,EV_gross,EV_net,price,expected_payout
2025-12-15,805,805,8,0,5,0.06,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,5400.0,5200.0,200.0,5400.0
2025-12-15,157,157,1,5,7,0.05,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,4500.0,4300.0,200.0,4500.0
2025-12-15,718,718,7,1,8,0.042,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,3780.0000000000005,3580.0000000000005,200.0,3780.000000000001
2025-12-15,708,708,7,0,8,0.04,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,3600.0,3400.0,200.0,3600.0
2025-12-15,374,374,3,7,4,0.03,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2700.0,2500.0,200.0,2700.0
2025-12-15,395,395,3,9,5,0.03,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2700.0,2500.0,200.0,2700.0
2025-12-15,013,13,0,1,3,0.03,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2700.0,2500.0,200.0,2700.0
2025-12-15,752,752,7,5,2,0.028,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2520.0,2320.0,200.0,2520.0
2025-12-15,253,253,2,5,3,0.028,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2520.0,2320.0,200.0,2520.0
2025-12-15,729,729,7,2,9,0.026,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,2340.0,2140.0,200.0,2340.0
2025-12-15,856,856,8,5,6,0.022,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1979.9999999999998,1779.9999999999998,200.0,1980.0
2025-12-15,630,630,6,3,0,0.02,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1800.0,1600.0,200.0,1800.0
2025-12-15,654,654,6,5,4,0.02,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1800.0,1600.0,200.0,1800.0
2025-12-15,572,572,5,7,2,0.02,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1800.0,1600.0,200.0,1800.0
2025-12-15,472,472,4,7,2,0.016,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1440.0,1240.0,200.0,1440.0
2025-12-15,523,523,5,2,3,0.016,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1440.0,1240.0,200.0,1440.0
2025-12-15,652,652,6,5,2,0.014,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1260.0,1060.0,200.0,1260.0
2025-12-15,064,64,0,6,4,0.014,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1260.0,1060.0,200.0,1260.0
2025-12-15,072,72,0,7,2,0.014,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1260.0,1060.0,200.0,1260.0
2025-12-15,049,49,0,4,9,0.014,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1260.0,1060.0,200.0,1260.0
2025-12-15,368,368,3,6,8,0.012,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1080.0,880.0,200.0,1080.0
2025-12-15,827,827,8,2,7,0.012,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1080.0,880.0,200.0,1080.0
2025-12-15,672,672,6,7,2,0.012,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,1080.0,880.0,200.0,1080.0
2025-12-15,531,531,5,3,1,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,168,168,1,6,8,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,490,490,4,9,0,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,891,891,8,9,1,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,014,14,0,1,4,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,278,278,2,7,8,0.01,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,900.0,700.0,200.0,900.0
2025-12-15,796,796,7,9,6,0.008,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,720.0,520.0,200.0,720.0
2025-12-15,495,495,4,9,5,0.008,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,720.0,520.0,200.0,720.0
2025-12-15,430,430,4,3,0,0.008,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,720.0,520.0,200.0,720.0
2025-12-15,973,973,9,7,3,0.008,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,720.0,520.0,200.0,720.0
2025-12-15,371,371,3,7,1,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,948,948,9,4,8,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,953,953,9,5,3,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,038,38,0,3,8,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,000,0,0,0,0,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,207,207,2,0,7,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,190,190,1,9,0,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,209,209,2,0,9,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,149,149,1,4,9,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,204,204,2,0,4,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,321,321,3,2,1,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,052,52,0,5,2,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,068,68,0,6,8,0.006,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,540.0,340.0,200.0,540.0
2025-12-15,491,491,4,9,1,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,584,584,5,8,4,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,075,75,0,7,5,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,964,964,9,6,4,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,518,518,5,1,8,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,275,275,2,7,5,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,320,320,3,2,0,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,485,485,4,8,5,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,284,284,2,8,4,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,467,467,4,6,7,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,361,361,3,6,1,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,391,391,3,9,1,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,429,429,4,2,9,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,279,279,2,7,9,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,140,140,1,4,0,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,427,427,4,2,7,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,461,461,4,6,1,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,460,460,4,6,0,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,017,17,0,1,7,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,918,918,9,1,8,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,893,893,8,9,3,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,019,19,0,1,9,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,657,657,6,5,7,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,218,218,2,1,8,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,469,469,4,6,9,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,069,69,0,6,9,0.004,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,360.0,160.0,200.0,360.0
2025-12-15,684,684,6,8,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,680,680,6,8,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,671,671,6,7,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,675,675,6,7,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,719,719,7,1,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,746,746,7,4,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,745,745,7,4,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,957,957,9,5,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,908,908,9,0,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,906,906,9,0,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,928,928,9,2,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,941,941,9,4,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,958,958,9,5,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,720,720,7,2,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,076,76,0,7,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,725,725,7,2,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,763,763,7,6,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,753,753,7,5,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,783,783,7,8,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,780,780,7,8,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,748,748,7,4,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,849,849,8,4,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,089,89,0,8,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,631,631,6,3,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,468,468,4,6,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,496,496,4,9,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,540,540,5,4,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,098,98,0,9,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,514,514,5,1,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,108,108,1,0,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,498,498,4,9,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,508,508,5,0,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,621,621,6,2,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,610,610,6,1,0,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,094,94,0,9,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,623,623,6,2,3,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,578,578,5,7,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,597,597,5,9,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,547,547,5,4,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,549,549,5,4,9,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,637,637,6,3,7,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,636,636,6,3,6,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,635,635,6,3,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,354,354,3,5,4,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,458,458,4,5,8,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,931,931,9,3,1,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
2025-12-15,895,895,8,9,5,0.002,RandomForestClassifier,safe_w200,2025-12-15T09:15:59,predict_next_joint,180.0,-20.0,200.0,180.0
