feature,importance,std
合計,0.016472868217054265,0.008612591489646887
十の位_last_freq_w200,0.014050387596899227,0.005793730980184785
一の位_last_freq_w90,0.013565891472868217,0.00949414628985728
十の位_diff1,0.011143410852713182,0.01153670629824676
一の位_lag10,0.010174418604651165,0.008867735086106167
十の位_lag6,0.009689922480620158,0.00642756742316938
一の位_adiff1,0.009689922480620153,0.009089953022913625
十の位_lag3,0.009205426356589153,0.009077031974416273
十の位_一の位_pair_last_w30,0.008720930232558143,0.002563712510721504
十の位_adiff1,0.0072674418604651205,0.004917098626498168
十の位_expfreq_l100_a006,0.007267441860465117,0.007857206753985881
十の位_lag2,0.006298449612403105,0.0038455687660822508
最大,0.0062984496124031016,0.006695869651688595
一の位_lag4,0.005813953488372096,0.006713375223135186
一の位_diff1,0.005813953488372096,0.007505781678696544
一の位_lag8,0.005813953488372093,0.0054814479161747875
十の位_一の位_pair_last_w50,0.005329457364341088,0.005104483407389896
ミニ_口数,0.004844961240310079,0.005732635448739943
月_8,0.004844961240310079,0.004647123569101475
十の位_last_freq_w10,0.004360465116279072,0.006261069759360505
十の位_lag7,0.004360465116279069,0.005953588046242495
一の位_last_freq_w30,0.0038759689922480654,0.00822217187426218
曜日_火曜日_x_合計偶奇,0.0033914728682170586,0.0023235617845507373
ストレート_金額,0.003391472868217057,0.0073637035627764835
月_7,0.0029069767441860517,0.0016783438057837987
曜日_金曜日_x_合計偶奇,0.002422480620155043,0.0018764454196741394
曜日_水曜日_x_合計偶奇,0.002422480620155043,0.0018764454196741394
ミニ_金額,0.0019379844961240327,0.0077519379844961265
一の位_last_freq_w10,0.0019379844961240327,0.006713375223135182
十の位_lag5,0.0019379844961240327,0.007990514778328803
四半期_4,0.001937984496124031,0.004333465072674014
一の位_lag5,0.001937984496124031,0.007505781678696544
sum_10_14,0.001453488372093024,0.004306295744823449
一の位_lag9,0.001453488372093024,0.009481776061424873
十の位_last_freq_w90,0.001453488372093024,0.006695869651688593
十の位_一の位_pair_last_w200,0.000968992248062019,0.004647123569101471
曜日_月曜日,0.0009689922480620172,0.002563712510721507
月_11,0.0009689922480620172,0.0016783438057837987
一の位_last_freq_w50,0.0009689922480620155,0.00861259148964689
合計mod3,0.0009689922480620138,0.0046471235691014755
最大-最小,0.00048449612403101035,0.006554142082591416
月_10,0.0004844961240310086,0.0023235617845507404
月_3,0.0004844961240310086,0.003025677324805431
曜日_木曜日_x_合計偶奇,0.0004844961240310086,0.003025677324805431
十の位_last_freq_w30,3.469446951953614e-18,0.008880960649139225
最小,3.469446951953614e-18,0.006128445077845694
曜日_月曜日_x_ゾロ目,0.0,0.0
曜日_水曜日_x_ゾロ目,0.0,0.0
曜日_金曜日_x_ゾロ目,0.0,0.0
曜日_火曜日_x_ゾロ目,0.0,0.0
月_12,0.0,0.0
曜日_木曜日_x_ゾロ目,0.0,0.0
曜日_月曜日_x_合計偶奇,0.0,0.0
合計偶奇,0.0,0.0027407239580873985
十の位_gap_same_w300,0.0,0.0
十の位_gap_same_w100,0.0,0.0
sum_ge25,0.0,0.0
一の位_gap_same_w100,0.0,0.0
ゾロ目,0.0,0.0
一の位_gap_same_w300,0.0,0.0
一の位_gap_same_w200,0.0,0.0
十の位_gap_same_w200,0.0,0.0
一の位_expfreq_l100_a006,-0.0004844961240310034,0.00938222709837068
四半期_1,-0.0004844961240310086,0.00832149420412678
sum_20_24,-0.0004844961240310086,0.0012818562553607536
曜日_水曜日,-0.0004844961240310086,0.0023235617845507404
十の位_last_freq_w50,-0.0009689922480620155,0.00422373928637662
十の位_lag10,-0.0009689922480620155,0.0053951205066182385
曜日_金曜日,-0.0009689922480620172,0.002563712510721507
月_1,-0.0014534883720930258,0.0018764454196741394
sum_lt10,-0.001937984496124024,0.007990514778328796
月_9,-0.001937984496124031,0.0033566876115675914
sum_15_19,-0.001937984496124031,0.0038759689922480637
ダブル,-0.001937984496124031,0.0033566876115675914
月_2,-0.0019379844961240345,0.0019379844961240345
十の位_lag8,-0.0024224806201550344,0.010952184646760963
月_5,-0.002422480620155043,0.0018764454196741394
十の位_一の位_pair_last_w90,-0.0029069767441860447,0.0032137837115846853
四半期_3,-0.0033914728682170533,0.005285228737711101
曜日_木曜日,-0.0033914728682170603,0.0012818562553607536
十の位_lag9,-0.005329457364341084,0.009677802497789816
一の位_lag7,-0.0058139534883720895,0.004747073144928637
十の位_lag4,-0.006298449612403096,0.010952184646760964
月_4,-0.006298449612403098,0.004722284081787285
一の位_last_freq_w200,-0.006298449612403103,0.009869936428034578
月_6,-0.006782945736434103,0.0037528908393482676
一の位_lag3,-0.00726744186046511,0.0108661150639563
四半期_2,-0.007267441860465112,0.004082436905608696
偶数カウント,-0.007751937984496119,0.00822217187426218
一の位_lag2,-0.008236434108527127,0.009580290665351347
ストレート_口数,-0.008720930232558134,0.0050350314173513875
曜日_火曜日,-0.012112403100775188,0.005629336259022406
一の位_lag6,-0.014050387596899219,0.006409281276803761
