feature,importance,std
百の位_last_freq_w50,0.010700389105058366,0.006668924708561327
一の位_lag5,0.01021400778210117,0.0054812391389030355
十_一_diff,0.009241245136186776,0.010994800151223066
百の位_lag3,0.008754863813229577,0.005054622979286602
百の位_lag5,0.008268482490272379,0.008124169790121621
十の位_last_freq_w10,0.008268482490272377,0.006285431898501982
年度週,0.008268482490272377,0.004936231305978703
ダブル,0.007782101167315177,0.003891050583657586
一の位_expfreq_l100_a006,0.007295719844357984,0.005651240291158678
十の位_adiff1,0.00729571984435798,0.0045366629635645965
一の位_last_freq_w200,0.006809338521400785,0.006378831249321006
偶数カウント,0.0068093385214007835,0.0060749007766521335
十の位_last_freq_w90,0.006809338521400782,0.005054622979286605
十の位_一の位_pair_last_w90,0.00680933852140078,0.005416113193414415
百の位_lag9,0.005836575875486388,0.006152291167642757
一の位_last_freq_w50,0.005836575875486385,0.004765544246659878
一の位_lag10,0.005836575875486385,0.006739497305715473
最小,0.005836575875486383,0.0038910505836575867
百_十_diff,0.005350194552529193,0.005481239138903032
百の位_lag7,0.005350194552529188,0.009518670131702784
十の位_diff1,0.005350194552529188,0.00432305175939474
hot_cold_score_十の位,0.005350194552529186,0.005481239138903036
百_一_diff,0.005350194552529186,0.008239822152771116
ストレート_口数,0.005350194552529185,0.004740658728019924
十の位_last_freq_w200,0.0043774319066147895,0.011417018087845817
百の位_lag8,0.003891050583657591,0.00825416476093246
月,0.003404669260700398,0.0023326028809886787
百の位_last_freq_w90,0.003404669260700396,0.005976753758484681
一の位_lag6,0.003404669260700396,0.005305793830075732
hot_cold_score_百の位,0.0034046692607003944,0.0030374503883260702
十の位_last_freq_w50,0.0034046692607003944,0.004098321874113012
百の位_十の位_pair_last_w50,0.0034046692607003944,0.0030374503883260702
百の位_十の位_pair_last_w200,0.0034046692607003944,0.005305793830075735
一の位_adiff1,0.0029182879377431994,0.006946914813757632
十の位_一の位_pair_last_w200,0.002918287937743196,0.007721064137348024
十の位_lag8,0.002918287937743196,0.004665205761977352
十の位_lag1,0.002918287937743194,0.006378831249321009
百の位_lag10,0.002431906614785999,0.005124345210531484
十の位_expfreq_l100_a006,0.0024319066147859975,0.010097538663437105
四半期_2,0.0019455252918288042,0.0027513882536441565
十の位_lag9,0.0019455252918288025,0.005502776507288303
百の位_lag6,0.001459143968871604,0.006997808642966024
百の位_last_freq_w200,0.001459143968871604,0.0038605320686740116
十の位_一の位_pair_last_w30,0.0014591439688716006,0.0033344623542806632
四半期,0.0014591439688716006,0.0033344623542806632
最大,0.0014591439688716006,0.0033344623542806632
合計偶奇,0.0014591439688716006,0.0033344623542806632
一の位_last_freq_w90,0.0014591439688716006,0.0033344623542806632
合計mod3,0.0014591439688715988,0.008006847097837708
十の位_lag3,0.001459143968871597,0.0054812391389030355
百の位_一の位_pair_last_w50,0.0009727626459144073,0.005754941423248652
sum_15_19,0.0009727626459144073,0.0032262887065714015
一の位_lag3,0.0009727626459144038,0.0037674935274391195
百の位_一の位_pair_last_w30,0.0009727626459144004,0.0016848743264288749
一の位_last_freq_w10,0.0009727626459143969,0.0025736880457826756
四半期_3,0.0004863813229572071,0.0030374503883260702
一の位_diff1,0.0004863813229572054,0.006861252908397799
