回号,抽せん日,当せん番号,ストレート_口数,ストレート_金額,ボックス_口数,ボックス_金額,セットS_口数,セットS_金額,セットB_口数,セットB_金額,ミニ_口数,ミニ_金額,パターン,百の位,十の位,一の位,合計,最大,最小,最大-最小,曜日_int,曜日,パターン_code
5577,2020-12-01,659,68,107100,392,17800,217,62400,748,8900,540,10700,全て異なる,6,5,9,20,9,5,4,1,火曜日,0
5578,2020-12-02,729,98,73000,542,12100,351,42500,1103,6000,550,7300,全て異なる,7,2,9,18,9,2,7,2,水曜日,0
5579,2020-12-03,275,78,81100,712,13500,225,47300,1265,6700,417,8100,全て異なる,2,7,5,14,7,2,5,3,木曜日,0
5580,2020-12-04,201,77,108600,518,18100,173,63300,1003,9000,385,10800,全て異なる,2,0,1,3,2,0,2,4,金曜日,0
5581,2020-12-07,314,215,60100,822,10000,468,35000,1323,5000,514,6000,全て異なる,3,1,4,8,4,1,3,0,月曜日,0
5582,2020-12-08,898,69,98900,295,32900,162,65900,331,16400,486,9800,2桁一致,8,9,8,25,9,8,1,1,火曜日,1
5583,2020-12-09,693,85,87300,574,14500,174,50900,1374,7200,400,8700,全て異なる,6,9,3,18,9,3,6,2,水曜日,0
5584,2020-12-10,823,120,71300,629,11800,306,41500,1238,5900,549,7100,全て異なる,8,2,3,13,8,2,6,3,木曜日,0
5585,2020-12-11,831,117,64500,727,10700,372,37600,1649,5300,560,6400,全て異なる,8,3,1,12,8,1,7,4,金曜日,0
5586,2020-12-14,688,195,76000,334,25300,287,50600,324,12600,595,7600,2桁一致,6,8,8,22,8,6,2,0,月曜日,1
5587,2020-12-15,377,82,105800,273,35200,155,70500,312,17600,545,10500,2桁一致,3,7,7,17,7,3,4,1,火曜日,1
5588,2020-12-16,364,53,105700,547,17600,151,61600,1138,8800,551,10500,全て異なる,3,6,4,13,6,3,3,2,水曜日,0
5589,2020-12-17,711,106,84400,308,28100,199,56200,488,14000,507,8400,2桁一致,7,1,1,9,7,1,6,3,木曜日,1
5590,2020-12-18,17,81,93300,611,15500,205,54400,1284,7700,538,9300,全て異なる,0,1,7,8,7,0,7,4,金曜日,0
5591,2020-12-21,421,116,74400,901,12400,314,43400,1679,6200,746,7400,全て異なる,4,2,1,7,4,1,3,0,月曜日,0
5592,2020-12-22,689,98,99100,473,16500,184,57800,868,8200,492,9900,全て異なる,6,8,9,23,9,6,3,1,火曜日,0
5593,2020-12-23,485,59,117100,472,19500,151,68300,1045,9700,429,11700,全て異なる,4,8,5,17,8,4,4,2,水曜日,0
5594,2020-12-24,316,148,64700,714,10700,378,37700,1213,5300,504,6400,全て異なる,3,1,6,10,6,1,5,3,木曜日,0
5595,2020-12-25,588,69,130300,247,43400,152,86800,262,21700,494,13000,2桁一致,5,8,8,21,8,5,3,4,金曜日,1
5596,2020-12-28,925,183,72200,839,12000,409,42100,1199,6000,657,7200,全て異なる,9,2,5,16,9,2,7,0,月曜日,0
5597,2020-12-29,439,87,75600,668,12600,317,44100,1224,6300,834,7500,全て異なる,4,3,9,16,9,3,6,1,火曜日,0
5598,2020-12-30,13,98,88900,675,14800,201,51800,1488,7400,530,8800,全て異なる,0,1,3,4,3,0,3,2,水曜日,0
5599,2021-01-04,489,139,93000,474,15500,240,54200,929,7700,426,9300,全て異なる,4,8,9,21,9,4,5,0,月曜日,0
5600,2021-01-05,715,133,69400,620,11500,343,40400,1128,5700,566,6900,全て異なる,7,1,5,13,7,1,6,1,火曜日,0
5601,2021-01-06,325,139,65300,613,10800,392,38000,1107,5400,462,6500,全て異なる,3,2,5,10,5,2,3,2,水曜日,0
5602,2021-01-07,762,73,99100,511,16500,132,57800,1164,8200,502,9900,全て異なる,7,6,2,15,7,2,5,3,木曜日,0
5603,2021-01-08,229,87,95400,257,31800,199,63600,357,15900,682,9500,2桁一致,2,2,9,13,9,2,7,4,金曜日,1
5604,2021-01-11,51,81,103400,695,17200,173,60300,1369,8600,496,10300,全て異なる,0,5,1,6,5,0,5,0,月曜日,0
5605,2021-01-12,197,86,99900,601,16600,187,58200,1162,8300,473,9900,全て異なる,1,9,7,17,9,1,8,1,火曜日,0
5606,2021-01-13,517,134,75400,687,12500,306,43900,1328,6200,489,7500,全て異なる,5,1,7,13,7,1,6,2,水曜日,0
5607,2021-01-14,53,48,123400,586,20500,126,71900,1193,10200,388,12300,全て異なる,0,5,3,8,5,0,5,3,木曜日,0
5608,2021-01-15,740,64,116500,497,19400,173,67900,1011,9700,749,11600,全て異なる,7,4,0,11,7,0,7,4,金曜日,0
5609,2021-01-18,240,89,106100,950,17600,243,61800,1532,8800,390,10600,全て異なる,2,4,0,6,4,0,4,0,月曜日,0
5610,2021-01-19,355,119,84400,328,28100,220,56200,340,14000,689,8400,2桁一致,3,5,5,13,5,3,2,1,火曜日,1
5611,2021-01-20,294,70,93400,619,15500,212,54400,1257,7700,596,9300,全て異なる,2,9,4,15,9,2,7,2,水曜日,0
5612,2021-01-21,923,115,77600,611,12900,337,45200,1136,6400,556,7700,全て異なる,9,2,3,14,9,2,7,3,木曜日,0
5613,2021-01-22,635,71,99500,528,16500,211,58000,1058,8200,822,9900,全て異なる,6,3,5,14,6,3,3,4,金曜日,0
5614,2021-01-25,196,102,88800,781,14800,283,51800,1679,7400,672,8800,全て異なる,1,9,6,16,9,1,8,0,月曜日,0
5615,2021-01-26,240,70,114500,507,19000,165,66700,995,9500,363,11400,全て異なる,2,4,0,6,4,0,4,1,火曜日,0
5616,2021-01-27,602,79,105100,477,17500,195,61300,960,8700,612,10500,全て異なる,6,0,2,8,6,0,6,2,水曜日,0
5617,2021-01-28,951,45,114500,586,19000,157,66700,1286,9500,387,11400,全て異なる,9,5,1,15,9,1,8,3,木曜日,0
5618,2021-01-29,698,78,113100,476,18800,208,65900,939,9400,578,11300,全て異なる,6,9,8,23,9,6,3,4,金曜日,0
5619,2021-02-01,514,153,81300,734,13500,389,47400,1345,6700,723,8100,全て異なる,5,1,4,10,5,1,4,0,月曜日,0
5620,2021-02-02,509,77,92800,619,15400,237,54100,979,7700,636,9200,全て異なる,5,0,9,14,9,0,9,1,火曜日,0
5621,2021-02-03,398,72,97900,545,16300,242,57100,1126,8100,468,9700,全て異なる,3,9,8,20,9,3,6,2,水曜日,0
5622,2021-02-04,704,75,112900,430,18800,188,65800,815,9400,511,11200,全て異なる,7,0,4,11,7,0,7,3,木曜日,0
5623,2021-02-05,281,71,89700,734,14900,208,52300,1678,7400,624,8900,全て異なる,2,8,1,11,8,1,7,4,金曜日,0
5624,2021-02-08,357,178,65600,1003,10900,412,38200,1625,5400,702,6500,全て異なる,3,5,7,15,7,3,4,0,月曜日,0
5625,2021-02-09,486,78,78400,788,13000,232,45700,1566,6500,452,7800,全て異なる,4,8,6,18,8,4,4,1,火曜日,0
5626,2021-02-10,843,74,111900,502,18600,172,65200,900,9300,530,11100,全て異なる,8,4,3,15,8,3,5,2,水曜日,0
5627,2021-02-11,641,62,97900,540,16300,140,57100,1145,8100,918,9700,全て異なる,6,4,1,11,6,1,5,3,木曜日,0
5628,2021-02-12,0,301,119800,0,0,0,0,0,0,758,11900,ゾロ目,0,0,0,0,0,0,0,4,金曜日,2
5629,2021-02-15,744,76,135800,281,45200,131,90500,320,22600,758,13500,2桁一致,7,4,4,15,7,4,3,0,月曜日,1
5630,2021-02-16,785,59,116300,511,19300,162,67800,1032,9600,496,11600,全て異なる,7,8,5,20,8,5,3,1,火曜日,0
5631,2021-02-17,3,77,141900,189,47300,114,94600,227,23600,464,14100,2桁一致,0,0,3,3,3,0,3,2,水曜日,1
5632,2021-02-18,912,109,55600,991,9200,427,32400,2078,4600,603,5500,全て異なる,9,1,2,12,9,1,8,3,木曜日,0
5633,2021-02-19,154,72,115400,557,19200,135,67300,1186,9600,546,11500,全て異なる,1,5,4,10,5,1,4,4,金曜日,0
